iter	Logloss
0	0.551258033
1	0.4643118625
2	0.4088052954
3	0.3734614747
4	0.3482536107
5	0.3318303604
6	0.3202184594
7	0.3117927001
8	0.3051587837
9	0.2998863696
10	0.2956701734
11	0.2923547782
12	0.2897044858
13	0.2875680713
14	0.2857343614
15	0.2841204652
16	0.2827261507
17	0.2815477232
18	0.2805147973
19	0.2795670611
20	0.2788236579
21	0.2781545458
22	0.2776175972
23	0.277182362
24	0.2767476625
25	0.2764208739
26	0.2760647715
27	0.2757958502
28	0.275552223
29	0.2753063584
30	0.275101012
31	0.2748808998
32	0.2747394883
33	0.2746069331
34	0.2744884343
35	0.2743486876
36	0.2742303503
37	0.2741449586
38	0.2740348841
39	0.2739433283
40	0.2738543716
41	0.2737916661
42	0.2737199198
43	0.2736424554
44	0.2734715281
45	0.2734059828
46	0.2732435447
47	0.2731852998
48	0.2731044303
49	0.2730444889
50	0.2729652263
51	0.272910787
52	0.2728702073
53	0.272779231
54	0.2727423955
55	0.2726998138
56	0.2726452147
57	0.2726042874
58	0.2725547038
59	0.2725120308
60	0.2724889162
61	0.2724630673
62	0.2724189121
63	0.2723890678
64	0.2723543362
65	0.2723238474
66	0.2723013211
67	0.2722402383
68	0.2722045759
69	0.2721807834
70	0.2721535892
71	0.2721143214
72	0.2720869533
73	0.272055669
74	0.2720172811
75	0.2719869346
76	0.2719455752
77	0.2718121823
78	0.2717869129
79	0.271758319
80	0.2717321399
81	0.2716985954
82	0.2716680224
83	0.2716354842
84	0.2716092226
85	0.2715588681
86	0.2714016774
87	0.2713514477
88	0.2713273092
89	0.2712820845
90	0.2712620923
91	0.2712388162
92	0.2711968526
93	0.2711704575
94	0.2711420691
95	0.2711188509
96	0.2710967303
97	0.2709967958
98	0.2709701706
99	0.2709423144
100	0.2709113567
101	0.2708851811
102	0.2708361666
103	0.2707965247
104	0.2707247767
105	0.2706532113
106	0.270607746
107	0.2705142777
108	0.270469536
109	0.2704469816
110	0.2703918925
111	0.2703654763
112	0.2703428306
113	0.2703100184
114	0.270264251
115	0.2702215956
116	0.270175974
117	0.2701543679
118	0.2701274108
119	0.2700860409
120	0.2700610946
121	0.2700366207
122	0.2700188975
123	0.2699934858
124	0.2699714671
125	0.269932489
126	0.269910976
127	0.2698910401
128	0.2698270209
129	0.2697944599
130	0.2697695329
131	0.2697538539
132	0.2697320353
133	0.269674233
134	0.2696541424
135	0.2696249076
136	0.269601512
137	0.2695800991
138	0.2695589742
139	0.2695396178
140	0.2695121865
141	0.2694764714
142	0.2694375689
143	0.269414305
144	0.2693976215
145	0.2693748423
146	0.269354167
147	0.2693346261
148	0.2693165939
149	0.2692901127
150	0.2692633891
151	0.2692325913
152	0.2692111292
153	0.2691872647
154	0.269170813
155	0.269149142
156	0.2691195208
157	0.2690914994
158	0.2690633253
159	0.2690438881
160	0.2690163234
161	0.2689881844
162	0.2689609463
163	0.2689412263
164	0.2689164363
165	0.2689039096
166	0.2688807002
167	0.2688484974
168	0.2688213102
169	0.2687977794
170	0.2687614567
171	0.268743953
172	0.2687276119
173	0.2687141737
174	0.2686926783
175	0.2686736696
176	0.2686529662
177	0.2686341788
178	0.2686060977
179	0.2685821805
180	0.2685640341
181	0.2685435537
182	0.2685289864
183	0.2685118462
184	0.2684945023
185	0.2684745945
186	0.2684547147
187	0.2684347296
188	0.2684100133
189	0.268388769
190	0.2683645428
191	0.2683474641
192	0.2683274544
193	0.2683099366
194	0.2682966425
195	0.2682596208
196	0.2682332661
197	0.2682155358
198	0.268196053
199	0.2681756604
200	0.2681569994
201	0.2681190926
202	0.2680971178
203	0.2680776472
204	0.2680531487
205	0.2680299744
206	0.2680037373
207	0.26798747
208	0.2679707267
209	0.2679430865
210	0.2679258655
211	0.267910327
212	0.2678944302
213	0.2678739235
214	0.2678552133
215	0.2678416593
216	0.2678244067
217	0.2678068275
218	0.2677914593
219	0.267775394
220	0.2677592987
221	0.2677400635
222	0.2677227126
223	0.2677048226
224	0.2676876157
225	0.2676685437
226	0.2676506361
227	0.2676283891
228	0.2676106185
229	0.2675994774
230	0.2675773093
231	0.2675586167
232	0.2675442302
233	0.2675217443
234	0.2675020823
235	0.2674874746
236	0.2674771044
237	0.2674545237
238	0.2674401986
239	0.2674131397
240	0.2673981737
241	0.267376125
242	0.2673558712
243	0.267337442
244	0.2673246993
245	0.2673048863
246	0.2672896147
247	0.2672795449
248	0.2672587466
249	0.2672436471
250	0.2672312627
251	0.2672064323
252	0.2671853741
253	0.2671689961
254	0.267150927
255	0.2671371165
256	0.2671204979
257	0.2671012311
258	0.2670701294
259	0.2670578363
260	0.2670408577
261	0.2670204388
262	0.26700084
263	0.2669705005
264	0.2669510001
265	0.2669325692
266	0.2669143718
267	0.266898238
268	0.2668830752
269	0.266864769
270	0.2668484648
271	0.2668269711
272	0.2668089125
273	0.2667869306
274	0.2667739104
275	0.2667565402
276	0.2667455993
277	0.2667259197
278	0.2667161063
279	0.2666988818
280	0.2666779554
281	0.2666604429
282	0.2666433204
283	0.2666250475
284	0.2666085044
285	0.2665974037
286	0.2665766652
287	0.2665566695
288	0.2665343311
289	0.2665144478
290	0.2665009605
291	0.2664796565
292	0.266464687
293	0.2664490202
294	0.2664353819
295	0.2664213238
296	0.2664073412
297	0.2663896988
298	0.2663726974
299	0.2663545439
300	0.2663330783
301	0.2663144806
302	0.2662957897
303	0.2662815227
304	0.2662664267
305	0.266244847
306	0.2662336883
307	0.2662167835
308	0.266201403
309	0.2661819008
310	0.2661611008
311	0.2661426629
312	0.2661135738
313	0.2660983953
314	0.26609149
315	0.2660690445
316	0.2660518833
317	0.2660279362
318	0.266010329
319	0.2659955456
320	0.2659812047
321	0.2659644439
322	0.2659439038
323	0.2659229827
324	0.2659050154
325	0.2658910082
326	0.2658669066
327	0.2658540866
328	0.2658436902
329	0.265829618
330	0.2658162764
331	0.2658016213
332	0.2657891086
333	0.2657748556
334	0.2657587516
335	0.265736443
336	0.2657201072
337	0.2657047812
338	0.265691912
339	0.2656791658
340	0.2656597795
341	0.2656466908
342	0.2656283512
343	0.265613322
344	0.2655950368
345	0.2655767815
346	0.2655639738
347	0.2655511046
348	0.2655344527
349	0.2655088759
350	0.2654857209
351	0.265469278
352	0.2654595874
353	0.2654455364
354	0.2654304562
355	0.2654086675
356	0.2653961548
357	0.2653822267
358	0.2653638643
359	0.2653488947
360	0.2653314806
361	0.2653215495
362	0.2653107228
363	0.2652930365
364	0.2652821114
365	0.2652664025
366	0.2652505637
367	0.2652377665
368	0.2652208178
369	0.2652038673
370	0.2651875385
371	0.2651691286
372	0.2651540765
373	0.2651375212
374	0.2651240426
375	0.265108044
376	0.2650877638
377	0.265073423
378	0.2650577141
379	0.2650410341
380	0.2650304479
381	0.2650093757
382	0.2649915208
383	0.2649772538
384	0.2649608793
385	0.2649407782
386	0.2649286923
387	0.2649150399
388	0.2649012698
389	0.2648864777
390	0.2648704984
391	0.2648577223
392	0.2648428809
393	0.26482118
394	0.2648019764
395	0.2647844464
396	0.2647640837
397	0.2647526405
398	0.2647410902
399	0.2647324253
400	0.2647122839
401	0.2647028269
402	0.2646906111
403	0.2646766742
404	0.2646620488
405	0.2646469827
406	0.2646329317
407	0.2646143479
408	0.2646056374
409	0.2645908031
410	0.2645784906
411	0.264568837
412	0.2645541168
413	0.2645405241
414	0.2645288983
415	0.2645154795
416	0.2645036763
417	0.2644887138
418	0.2644775077
419	0.2644661366
420	0.2644500817
421	0.2644232563
422	0.2644038367
423	0.2643887091
424	0.2643661564
425	0.2643512501
426	0.2643348265
427	0.2643172139
428	0.264299352
429	0.2642827527
430	0.2642676919
431	0.2642504516
432	0.2642378898
433	0.2642261411
434	0.2642096208
435	0.2641859074
436	0.264166911
437	0.2641541138
438	0.2641367629
439	0.2641229788
440	0.2641118939
441	0.264084078
442	0.264071741
443	0.2640602399
444	0.2640403373
445	0.2640261563
446	0.264006777
447	0.2639897001
448	0.2639740966
449	0.2639631012
450	0.2639476786
451	0.263932047
452	0.2639167982
453	0.2639035304
454	0.2638857528
455	0.2638755618
456	0.2638645963
457	0.2638527984
458	0.2638359322
459	0.2638183653
460	0.2638017608
461	0.2637825308
462	0.2637635607
463	0.263752093
464	0.2637324345
465	0.263717335
466	0.2636995029
467	0.2636838836
468	0.26367168
469	0.2636522516
470	0.2636352853
471	0.2636166717
472	0.2635988414
473	0.2635797326
474	0.2635700684
475	0.2635540663
476	0.263534622
477	0.2635178489
478	0.263500073
479	0.2634911184
480	0.2634743452
481	0.2634603679
482	0.2634449506
483	0.2634298037
484	0.2634158492
485	0.2633992447
486	0.2633816831
487	0.2633669049
488	0.2633482317
489	0.2633321821
490	0.26332354
491	0.2633072235
492	0.2632896267
493	0.2632857825
494	0.2632718157
495	0.2632556836
496	0.2632406702
497	0.2632267385
498	0.2632184951
499	0.2632035625
500	0.2631887422
501	0.2631731984
502	0.2631634447
503	0.2631516433
504	0.2631348122
505	0.2631272993
506	0.2631140122
507	0.2630965753
508	0.2630813792
509	0.2630632468
510	0.2630529258
511	0.2630330706
512	0.2630176691
513	0.2630042889
514	0.2629847375
515	0.2629656902
516	0.2629533549
517	0.2629394988
518	0.2629232367
519	0.2629085552
520	0.2628919524
521	0.2628749738
522	0.2628602273
523	0.2628472387
524	0.262837759
525	0.2628247985
526	0.2628090545
527	0.2627914525
528	0.2627779195
529	0.262764952
530	0.2627515349
531	0.2627368902
532	0.2627226425
533	0.2627074675
534	0.2626922749
535	0.2626767785
536	0.2626629874
537	0.2626500199
538	0.2626405594
539	0.2626249647
540	0.2626057593
541	0.2625875813
542	0.2625716511
543	0.2625559457
544	0.2625383349
545	0.2625248423
546	0.2625037174
547	0.262494264
548	0.2624721768
549	0.2624583224
550	0.262440262
551	0.2624240596
552	0.2624166047
553	0.2624073585
554	0.262395731
555	0.2623796638
556	0.2623685667
557	0.2623526084
558	0.2623376564
559	0.2623209167
560	0.26230404
561	0.2622926864
562	0.2622812274
563	0.2622655466
564	0.2622499484
565	0.2622388442
566	0.2622178123
567	0.2622013518
568	0.2621877539
569	0.2621749409
570	0.2621496521
571	0.2621325506
572	0.2621210478
573	0.2621069563
574	0.2620903535
575	0.2620751522
576	0.2620532458
577	0.2620419133
578	0.2620286753
579	0.2620123764
580	0.2619957508
581	0.2619854088
582	0.2619688376
583	0.2619523999
584	0.2619356707
585	0.2619232423
586	0.2619109369
587	0.2618934438
588	0.2618735201
589	0.2618647077
590	0.261849271
591	0.2618381633
592	0.2618206824
593	0.2618089618
594	0.2618022708
595	0.2617894754
596	0.2617756123
597	0.2617680906
598	0.2617543082
599	0.261741497
600	0.2617280448
601	0.2617124729
602	0.261695122
603	0.261682151
604	0.2616654007
605	0.2616488173
606	0.261628423
607	0.2616133516
608	0.2616081182
609	0.2615986367
610	0.2615833791
611	0.2615616817
612	0.2615500595
613	0.2615398105
614	0.2615239664
615	0.2615112588
616	0.2614988603
617	0.2614884778
618	0.2614693128
619	0.2614555937
620	0.2614388785
621	0.2614268752
622	0.2614165278
623	0.2613978967
624	0.2613763749
625	0.2613590802
626	0.2613461127
627	0.2613312398
628	0.2613161192
629	0.2613033291
630	0.2612839867
631	0.2612703413
632	0.2612586172
633	0.2612428942
634	0.2612301146
635	0.2612199219
636	0.2612084383
637	0.2611942538
638	0.2611863915
639	0.261175231
640	0.2611624655
641	0.2611544556
642	0.2611470499
643	0.261135684
644	0.2611172162
645	0.2611035023
646	0.2610901941
647	0.26107386
648	0.2610612262
649	0.2610428866
650	0.2610261451
651	0.2610138713
652	0.2610006807
653	0.2609905336
654	0.2609754675
655	0.2609627968
656	0.2609515169
657	0.2609324977
658	0.2609184238
659	0.2609018667
660	0.2608878192
661	0.2608794054
662	0.2608639687
663	0.2608555444
664	0.2608401042
665	0.2608197555
666	0.2608056184
667	0.2607981758
668	0.2607832203
669	0.260773068
670	0.2607589554
671	0.2607408055
672	0.2607260063
673	0.2607079301
674	0.2606945481
675	0.260684329
676	0.2606659174
677	0.26064942
678	0.2606383615
679	0.2606235377
680	0.2606096851
681	0.2605926889
682	0.2605856643
683	0.2605719838
684	0.260561445
685	0.260549598
686	0.2605356224
687	0.2605209128
688	0.2605095083
689	0.2604971589
690	0.2604795516
691	0.2604621323
692	0.2604497935
693	0.2604411215
694	0.2604313257
695	0.2604165914
696	0.2604013673
697	0.2603926093
698	0.2603857602
699	0.260369017
700	0.2603519032
701	0.2603343977
702	0.260322433
703	0.2603110777
704	0.2603010377
705	0.2602885145
706	0.2602763162
707	0.2602663113
708	0.2602537319
709	0.2602409857
710	0.2602251223
711	0.2602090621
712	0.2601920045
713	0.2601817854
714	0.2601661046
715	0.2601496652
716	0.2601325373
717	0.2601197261
718	0.2601075173
719	0.2600891408
720	0.2600809729
721	0.2600728331
722	0.2600601026
723	0.2600436843
724	0.2600326714
725	0.2600211474
726	0.2600040933
727	0.2599897613
728	0.2599759385
729	0.2599590583
730	0.2599400478
731	0.2599297023
732	0.2599098576
733	0.2598974363
734	0.2598826599
735	0.2598749908
736	0.2598617107
737	0.2598453942
738	0.2598322493
739	0.2598193573
740	0.2598010352
741	0.2597914887
742	0.2597775694
743	0.2597650479
744	0.2597449258
745	0.2597330506
746	0.2597218463
747	0.2597081886
748	0.2597000769
749	0.2596860575
750	0.2596711986
751	0.25965942
752	0.2596455463
753	0.2596337853
754	0.2596176075
755	0.2595997561
756	0.2595898865
757	0.2595758758
758	0.2595625114
759	0.2595416412
760	0.2595280959
761	0.2595136304
762	0.2595017253
763	0.2594889651
764	0.2594718671
765	0.25946437
766	0.259454762
767	0.2594396696
768	0.2594284617
769	0.2594127968
770	0.2594000417
771	0.2593871041
772	0.2593769939
773	0.2593615326
774	0.2593572651
775	0.2593460731
776	0.2593308103
777	0.2593211707
778	0.259306937
779	0.2592896142
780	0.2592769856
781	0.2592605058
782	0.2592462633
783	0.2592412776
784	0.2592242744
785	0.2592083074
786	0.2591910144
787	0.2591777062
788	0.2591618832
789	0.2591480973
790	0.2591326642
791	0.2591187729
792	0.2591049502
793	0.2590905777
794	0.2590799143
795	0.2590719712
796	0.2590667852
797	0.2590516875
798	0.2590356555
799	0.25902312
800	0.2590137175
801	0.2589968337
802	0.2589841121
803	0.2589685841
804	0.2589533775
805	0.2589409719
806	0.2589310847
807	0.2589183385
808	0.2589057082
809	0.2588909459
810	0.258878435
811	0.2588666915
812	0.2588589486
813	0.2588453963
814	0.2588294538
815	0.2588151148
816	0.2587992355
817	0.2587832878
818	0.2587648112
819	0.2587518314
820	0.2587348528
821	0.258721441
822	0.2587078466
823	0.258692236
824	0.258684307
825	0.2586739983
826	0.2586656916
827	0.2586505008
828	0.2586409789
829	0.2586237808
830	0.258612162
831	0.2585960211
832	0.2585804914
833	0.2585722989
834	0.258558952
835	0.2585478092
836	0.2585333367
837	0.2585182196
838	0.258503027
839	0.258494176
840	0.2584835968
841	0.2584723556
842	0.2584616255
843	0.2584409326
844	0.2584315969
845	0.2584188348
846	0.2584030381
847	0.2583930807
848	0.2583827141
849	0.258367964
850	0.2583542783
851	0.258344024
852	0.2583307773
853	0.2583142255
854	0.2582972855
855	0.2582832397
856	0.2582732032
857	0.2582588484
858	0.2582465974
859	0.2582325428
860	0.2582199915
861	0.2582148161
862	0.2582019399
863	0.2581849631
864	0.2581719604
865	0.258156724
866	0.2581404549
867	0.2581329122
868	0.2581209351
869	0.2581069034
870	0.2580950089
871	0.2580855203
872	0.2580710425
873	0.2580547014
874	0.2580460506
875	0.2580353134
876	0.2580185526
877	0.2580078295
878	0.2579935624
879	0.2579812587
880	0.2579675993
881	0.2579551516
882	0.2579413534
883	0.2579314487
884	0.2579206992
885	0.2579038962
886	0.2578967381
887	0.2578834492
888	0.2578690662
889	0.2578564728
890	0.2578402511
891	0.2578271835
892	0.2578161091
893	0.2577970425
894	0.2577882459
895	0.2577798022
896	0.2577665028
897	0.2577569458
898	0.257740069
899	0.2577338153
900	0.2577207934
901	0.2577085336
902	0.2576943034
903	0.2576867361
904	0.2576718158
905	0.2576634037
906	0.257653852
907	0.2576485431
908	0.2576357178
909	0.2576243467
910	0.257611625
911	0.2576024508
912	0.257588751
913	0.2575741081
914	0.257557702
915	0.2575485963
916	0.2575344329
917	0.2575240153
918	0.2575110759
919	0.2574997135
920	0.2574870498
921	0.2574711074
922	0.2574562538
923	0.2574461593
924	0.2574310458
