iter	Passed	Remaining
0	24	24049
1	45	22480
2	66	22100
3	87	21817
4	108	21625
5	128	21351
6	148	21050
7	168	20853
8	188	20758
9	206	20443
10	224	20195
11	242	19967
12	261	19837
13	280	19734
14	300	19709
15	320	19740
16	340	19711
17	360	19686
18	382	19769
19	405	19872
20	425	19836
21	446	19832
22	468	19913
23	489	19897
24	508	19838
25	529	19845
26	549	19813
27	570	19797
28	591	19799
29	612	19819
30	633	19817
31	653	19766
32	672	19697
33	691	19654
34	711	19613
35	730	19568
36	751	19562
37	770	19493
38	791	19493
39	814	19551
40	835	19545
41	856	19540
42	875	19490
43	895	19458
44	915	19420
45	940	19501
46	959	19455
47	978	19414
48	998	19375
49	1018	19344
50	1038	19325
51	1058	19297
52	1077	19246
53	1095	19191
54	1114	19154
55	1134	19125
56	1153	19091
57	1172	19040
58	1193	19042
59	1212	19000
60	1230	18935
61	1246	18853
62	1264	18809
63	1281	18741
64	1300	18704
65	1317	18643
66	1333	18571
67	1351	18517
68	1367	18454
69	1385	18410
70	1403	18364
71	1421	18321
72	1440	18295
73	1457	18236
74	1474	18185
75	1492	18150
76	1511	18115
77	1528	18073
78	1545	18014
79	1563	17975
80	1580	17932
81	1598	17895
82	1617	17866
83	1635	17835
84	1653	17795
85	1670	17759
86	1690	17737
87	1707	17701
88	1725	17658
89	1741	17608
90	1758	17561
91	1777	17546
92	1795	17511
93	1812	17464
94	1829	17431
95	1846	17387
96	1864	17357
97	1881	17315
98	1898	17281
99	1916	17245
100	1934	17222
101	1952	17193
102	1971	17171
103	1988	17135
104	2007	17114
105	2026	17090
106	2043	17054
107	2061	17030
108	2079	16994
109	2097	16966
110	2116	16950
111	2133	16917
112	2151	16888
113	2170	16868
114	2186	16826
115	2204	16797
116	2223	16781
117	2238	16730
118	2254	16691
119	2273	16669
120	2290	16638
121	2308	16612
122	2324	16574
123	2341	16542
124	2359	16516
125	2376	16484
126	2394	16459
127	2412	16437
128	2431	16415
129	2449	16390
130	2466	16358
131	2482	16326
132	2500	16299
133	2517	16268
134	2533	16234
135	2550	16204
136	2568	16177
137	2586	16153
138	2604	16135
139	2623	16116
140	2642	16098
141	2659	16070
142	2677	16043
143	2696	16030
144	2713	15999
145	2734	15993
146	2758	16007
147	2777	15988
148	2794	15962
149	2813	15944
150	2834	15938
151	2854	15927
152	2873	15906
153	2892	15887
154	2912	15876
155	2929	15847
156	2947	15824
157	2965	15802
158	2984	15788
159	3002	15763
160	3021	15746
161	3040	15727
162	3059	15708
163	3080	15701
164	3097	15676
