iter	Passed	Remaining
0	145	290954
1	187	187138
2	262	174455
3	360	179833
4	400	159869
5	454	150892
6	498	142015
7	555	13841088	602	1332189	676	134615
10	762	137837
11	822	136207
12	889	135979
13	967	137297
14	1042	138000
15	1100	136447
16	1149	134055
17	1216	133975
18	1257	131119119	1309	129668220	1386	130673221	1445	129952222	1511	129897223	1592	131145224	1686	133263225	1755	133255
26	1814	132618
27	1863	131220228	1913	130046229	1956	128499330	2055	130582331	2131	131076332	2197	130968333	2254	130350334	2314	129941335	2409	131461336	2472	131181337	2536	130968338	2590	13026839	2624	128597
40	2695	128794
41	2747	128102
42	2820	128364
43	2890	128476
44	2953	128331
45	3007	127739
46	3075	127777
47	3128	127206
48	3182	126715
49	3233	126094
50	3308	126447
551	3391	127051552	3448	126668553	3513	126613554	3560	12592955	3594	124781
556	3678	125391557	3755	12574058	3810	125372
59	3878	125412
60	3925	124783
61	3966	123997
62	4002	123073
63	4085	123595
64	4174	124274
65	4214	123508
66	4285	123644
67	4356	123786
68	4424	123832
69	4478	123491
70	4540	123354
71	4608	123414
72	4676	123445
73	4749	123602
74	4817	123637
75	4893	123884
76	4963	123970
77	5028	123896
78	5086	123678
79	5158	123806
80	5236	124052
81	5300	123971
82	5368	123993
83	5430	123864
84	5507	124071
85	5631	125331
86	5678	124859
87	5753	125000
88	5825	125087
89	5892	125053
90	5941	124634
91	5987	124184
92	6050	124075
93	6124	124182
94	6179	123906
95	6240	123775
96	6302	123640
97	6339	123029
98	6417	123233
99	6489	123303
100	6558	123311
101	6610	123006
102	6702	123443
103	6760	123250
104	6826	123194
105	6919	123642
106	6996	123772
107	7057	123629
108	7115	123452
109	7180	123377
110	7251	123404
111	7296	123000
112	7330	122408
113	7393	122311
114	7469	122438
115	7541	122477
116	7609	122463
117	7671	122353
118	7752	122541
119	7815	122441
120	7886	122468
121	7955	122464
122	8031	122563
123	8111	122715
124	8158	122381
125	8231	122426
126	8326	122801
127	8408	122979
128	8480	122997
129	8550	122998
130	8592	122588
131	8636	122221
132	8664	121632
133	8717	121389
134	8769	121146
135	8849	121292
136	8957	121814
137	9068	122356
138	9146	122451
139	9210	122368
140	9281	122368
141	9382	122759
142	9418	122315
143	9450	121804
144	9477	121249
145	9581	121669
146	9654	121700
147	9721	121655
148	9796	121700
149	9857	121573
150	9913	121390
151	9975	121282
152	10017	120925
153	10093	120987
154	10152	120852
155	10227	120891
156	10282	120703
157	10341	120561
158	10413	120575
159	10478	120504
160	10539	1203816161	10604	120312
162	10658	1201116163	10724	1200616164	10792	1200216165	10873	120133
166	10915	119813
167	10940	1193016168	10965	11880169	11041	118862
170	11089	118613
171	11150	118507
172	11219	118483
173	11275	118329
174	11355	118420
175	11425	118404
176	11463	118071
177	11496	117678
178	11541	117411
179	11600	117295
180	11687	117459
181	11763	117505
182	11834	117504
183	11899	117441
184	11974	117478
185	12028	117310
186	12103	117346
187	12169	117296
188	12231	117207
189	12266	116851
190	12307	116569
191	12368	116470
192	12434	116422
193	12493	116301
194	12533	116011
19195	12551	11552196	12640	115684
197	12695	115542
198	12762	115500
199	12818	115368
200	12875	115235
201	12932	115111
202	12987	114964
203	13040	114804
204	13095	114661
205	13140	114434
206	13208	114412
207	13276	114378
208	13348	114391
209	13396	114192
210	13461	114138
211	13524	114066
212	13618	114257
213	13689	114250
214	13742	114092
215	13809	114058
216	13849	113794
217	13893	113568
218	13937	113345
219	13999	113267
220	14050	113107
221	14115	113048
222	14183	113024
223	14248	112972
224	14301	112821
225	14362	112743
226	14406	112522
227	14449	112303
228	14479	111980
229	14533	111847
230	14558	111492
23231	14620	111415
232	14670	111258
233	14736	111212
234	14797	111137
235	14871	111154
236	14924	111022
237	14989	110970
238	15043	110844
239	15102	110754
240	15154	110608
241	15212	110512
242	15266	110382
243	15357	110522
244	15413	110414
245	15472	110323
246	15555	110398
247	15660	110632
248	15746	110732
249	15833	110832
250	15892	110738
251	15948	110625
252	16002	110497
253	16053	110350
254	16094	110135
255	16176	110199
256	16262	110292
257	16334	110292
258	16396	110217
259	16449	110086
260	16507	109983
261	16568	109907
262	16656	110010
263	16725	109980
264	16784	109893
265	16840	109779
266	16887	109609
267	16968	109659
268	17039	109645
269	17110	109635
270	17192	109690
271	17308	109959
272	17376	109926
273	17452	109940
274	17502	109786
275	17572	109764
276	17626	109638
277	17700	109638
278	17771	109623
279	17839	109587
280	17903	109523
281	17965	109449
282	18024	109354
283	18086	109280
284	18136	109136
285	18173	1089128286	18234	1088328287	18296	1087628288	18376	108798
289	18443	108750
290	18518	108757
291	18593	108760
292	18670	108772
293	18748	108793
294	18840	108891
295	18922	108933
296	18978	108822
297	19049	108797
298	19110	108716
299	19175	108658
