iter	Passed	Remaining
0	18	36853
1	36	36126
2	52	35252
3	69	34914
4	86	34452
5	102	34019
6	119	33948
7	135	33746
8	152	33793
9	169	33829
10	186	33696
11	203	33640
12	219	33544
13	235	33397
14	251	33299
15	268	33233
16	284	33236
17	302	33363
18	319	33333
19	336	33297
20	354	33434
21	371	33429
22	388	33391
23	405	33378
24	422	33359
25	438	33287
26	454	33240
27	472	33247
28	488	33192
29	504	33159
30	521	33118
31	538	33134
32	555	33090
33	571	33055
34	589	33115
35	608	33190
36	625	33178
37	642	33197
38	659	33178
39	676	33140
40	692	33106
41	708	33043
42	724	32988
43	741	32971
44	758	32942
45	774	32918
46	790	32855
47	807	32834
48	824	32815
49	839	32754
50	855	32704
51	872	32699
52	888	32654
53	904	32607
54	922	32606
55	940	32644
56	958	32668
57	976	32700
58	993	32696
59	1010	32678
60	1027	32647
61	1044	32644
62	1060	32605
63	1077	32579
64	1093	32550
65	1110	32533
66	1126	32494
67	1142	32460
68	1158	32424
69	1174	32388
70	1190	32351
71	1206	32320
72	1223	32307
73	1240	32279
74	1256	32246
75	1277	32351
76	1296	32374
77	1312	32343
78	1328	32313
79	1345	32280
80	1362	32270
81	1377	32230
82	1394	32202
83	1410	32175
84	1425	32119
85	1443	32117
86	1459	32083
87	1475	32050
88	1491	32015
89	1507	32002
90	1524	31982
91	1541	31961
92	1556	31920
93	1572	31894
94	1589	31870
95	1605	31842
96	1621	31809
97	1638	31793
98	1654	31775
99	1670	31741
100	1686	31707
101	1701	31669
102	1718	31642
103	1733	31607
104	1750	31599
105	1766	31564
106	1782	31537
107	1799	31525
108	1816	31508
109	1832	31478
110	1847	31443
111	1863	31418
112	1879	31383
113	1895	31352
114	1911	31330
115	1927	31303
116	1943	31273
117	1958	31244
118	1977	31254
119	1994	31242
120	2011	31237
121	2026	31199
122	2042	31167
123	2058	31140
124	2074	31116
125	2090	31086
126	2105	31057
127	2122	31039
128	2138	31013
129	2154	30985
130	2170	30966
131	2186	30944
132	2202	30918
133	2218	30895
134	2236	30891
135	2252	30868
136	2268	30842
137	2283	30807
138	2300	30795
139	2316	30773
140	2332	30755
141	2348	30728
142	2364	30701
143	2381	30690
144	2397	30669
145	2414	30663
146	2430	30643
147	2446	30616
148	2462	30592
149	2480	30588
150	2496	30567
151	2511	30539
152	2528	30523
153	2544	30503
154	2560	30481
155	2578	30479
156	2594	30452
157	2609	30425
158	2624	30386
159	2640	30360
160	2655	30336
161	2672	30323
162	2689	30306
163	2704	30277
164	2720	30260
165	2738	30259
166	2755	30242
167	2771	30220
168	2787	30197
169	2802	30172
170	2818	30150
171	2835	30130
172	2850	30107
173	2866	30083
174	2881	30052
175	2897	30031
176	2913	30010
177	2929	29989
178	2946	29972
179	2963	29959
180	2979	29940
181	2995	29922
182	3011	29900
183	3027	29881
184	3043	29856
185	3060	29849
186	3077	29832
187	3092	29810
188	3108	29782
189	3123	29756
190	3141	29749
191	3157	29736
192	3174	29718
193	3192	29716
194	3212	29732
195	3233	29761
196	3249	29739
197	3265	29718
198	3281	29696
199	3298	29687
200	3313	29656
201	3327	29617
202	3343	29596
203	3359	29577
204	3375	29554
205	3390	29529
