iter	Passed	Remaining
0	93	46519
1	162	40344
2	227	37748
3	283	35119
4	352	34852
5	408	33660
6	461	32481
7	519	31950
8	570	31141
9	631	30955
10	685	30481
11	737	30003
12	788	29554
13	843	29273
14	897	29004
15	951	28768
16	1005	28557
17	1056	28291
18	1107	28045
19	1160	27851
20	1212	27653
21	1262	27425
22	1316	27294
23	1363	27044
24	1409	26779
25	1457	26566
26	1508	26418
27	1561	26319
28	1613	26199
29	1662	26053
30	1712	25904
31	1763	25790
32	1813	25659
33	1874	25691
34	1928	25618
35	1977	25492
36	2031	25427
37	2088	25396
38	2145	25356
39	2194	25232
40	2248	25166
41	2297	25052
42	2353	25017
43	2409	24972
44	2463	24909
45	2511	24783
46	2564	24721
47	2617	24647
48	2667	24548
49	2713	24423
50	2767	24365
51	2810	24217
52	2860	24124
53	2912	24054
54	2961	23959
55	3010	23867
56	3059	23781
57	3109	23699
58	3164	23653
59	3220	23618
60	3273	23559
61	3321	23464
62	3368	23365
63	3420	23304
64	3471	23233
65	3526	23190
66	3576	23116
67	3635	23097
68	3692	23063
69	3756	23075
70	3823	23101
71	3876	23042
72	3926	22964
73	3977	22895
74	4023	22800
75	4075	22736
76	4122	22647
77	4180	22618
78	4235	22571
79	4285	22497
80	4330	22400
81	4386	22361
82	4434	22281
83	4484	22209
84	4545	22195
85	4600	22148
86	4649	22072
87	4698	21995
88	4754	21958
89	4806	21895
90	4855	21821
91	4913	21792
92	4964	21725
93	5017	21670
94	5072	21623
95	5124	21565
96	5178	21513
97	5238	21489
98	5293	21441
99	5349	21396
100	5404	21352
101	5459	21304
102	5520	21279
103	5571	21214
104	5633	21191
105	5693	21162
106	5748	21112
107	5810	21089
108	5879	21091
109	5940	21060
110	5995	21010
111	6057	20983
112	6114	20939
113	6167	20883
114	6221	20829
115	6272	20762
116	6322	20697
117	6377	20644
118	6428	20583
119	6481	20524
120	6538	20480
121	6607	20472
122	6659	20410
123	6714	20359
124	6763	20291
125	6827	20265
126	6881	20211
127	6936	20159
128	6989	20102
129	7045	20052
130	7106	20017
131	7159	19958
132	7207	19888
133	7260	19832
134	7322	19797
135	7388	19775
136	7437	19705
137	7493	19657
138	7549	19605
139	7602	19548
140	7664	19515
141	7713	19445
142	7775	19412
143	7827	19351
144	7883	19301
145	7934	19237
